,Year,State,Coal,Geothermal,Hydroelectric,Natural Gas,Nuclear,Other,Other Gases,Petroleum,Solar Thermal/PV,Total,Wind,Biomass
297,1995,TN,59475004,0,9628551,475095,15708421,158063,11062,257385,0,85730835,0,632743
298,1995,TX,124716948,0,1703348,146978708,36151325,789563,4276154,1607795,253,317636246,0,1412152
299,1995,UT,30611063,139742,968743,791212,0,0,260694,35934,0,32807388,0,0
300,1995,VA,28497065,0,995026,5431845,25134831,5366,0,1600679,3,62996021,0,2099600
301,1995,VT,0,0,972657,6593,3858509,0,0,13484,0,5160062,0,308819
302,1995,WA,5902945,0,82500153,4889604,6941878,179,550836,178915,0,102197586,0,1233076
303,1995,WI,38093434,0,2378472,1008604,10969606,584,0,385164,0,53923131,0,1087267
304,1995,WV,78714219,0,1192679,212874,0,214,204663,212778,0,80537427,0,0
305,1995,WY,38996375,0,798503,322450,0,54746,9230,70305,0,40251609,0,0
306,1996,AK,428736,0,1265863,3548718,0,0,0,770676,0,6128892,0,114899
307,1996,AL,74091485,0,11081921,1884239,29707535,0,307056,315378,0,121472911,0,4085297
308,1996,AR,24388417,0,2796966,3793734,13356671,0,0,113957,0,46033563,0,1583818
309,1996,AZ,31032541,0,9214356,2156382,28839587,0,0,69810,0,71654818,0,76745
